Paket,Startzeit,Endzeit,Data,
103,0.204052570201895,0.204312986868562,239,
104,0.205083610172736,0.205344026839402,191,
105,0.20605154614536,0.206311962812027,239,
106,0.207070426116545,0.207330842783211,239,
107,0.208059354088576,0.208319770755242,1,
108,0.208361306080036,0.208621722746703,0,
109,0.208663386071493,0.208923802738159,7,
110,0.210018906033156,0.210279322699823,0,
111,0.311049815175807,0.311310231842473,191,
112,0.312048599147559,0.312309015814225,239,
113,0.313048535119279,0.313308951785945,239,
114,0.31404949509097,0.314309911757636,191,
115,0.315067479062179,0.315327895728846,239,
116,0.316066391033928,0.316326807700595,239,
117,0.31708040700525,0.317340823671916,191,
118,0.318066262977368,0.318326679644034,239,
119,0.319049174949569,0.319309591616236,191,
120,0.320049238921285,0.320309655587952,239,
121,0.321049174893005,0.321309591559672,239,
122,0.322049110864725,0.322309527531392,191,
123,0.323049046836445,0.323309463503112,239,
124,0.324066902807658,0.324327319474325,239,
125,0.325048918779885,0.325309335446551,191,
126,0.326048854751605,0.326309271418271,239,
127,0.327081814722391,0.327342231389057,191,
128,0.328048726695044,0.328309143361711,239,
129,0.329048662666764,0.329309079333431,239,
130,0.330048598638484,0.330309015305151,191,
131,0.331066582609694,0.33132699927636,239,
132,0.332048470581924,0.33230888724859,239,
133,0.333102422552116,0.333362839218783,191,
134,0.334669270507803,0.334929687174469,239,
135,0.335549270482915,0.335809687149581,191,
136,0.336552150454551,0.336812567121218,239,
137,0.337548118426383,0.33780853509305,239,
138,0.338560086397763,0.338820503064429,191,
139,0.339549014369794,0.339809431036461,239,
140,0.340552022341427,0.340812439008094,239,
141,0.341548886313234,0.3418093029799,191,
142,0.342562902284556,0.342823318951222,239,
143,0.343547862256699,0.343808278923365,191,
144,0.344551766228307,0.344812182894973,239,
145,0.345548630200113,0.34580904686678,239,
146,0.346561622171464,0.34682203883813,191,
147,0.34754863014355,0.347809046810216,239,
148,0.348551510115186,0.348811926781853,239,
149,0.349548502086989,0.349808918753656,191,
150,0.350559446058398,0.350819862725064,239,
151,0.351548374030429,0.351808790697095,191,
152,0.352551254002066,0.352811670668732,239,
153,0.353548245973869,0.353808662640535,239,
154,0.354561109945223,0.354821526611889,191,
155,0.355548117917309,0.355808534583975,239,
156,0.356552021888916,0.356812438555583,239,
157,0.357547989860748,0.357808406527415,191,
158,0.358558933832157,0.358819350498823,239,
